ROCINHA,3270,94,8
COMPLEXO DO ALEMO,5375,345,25
CIDADE DE DEUS,5921,305,62
JACAREZINHO,9681,396,28
PORTUARIA,18620,1652,120
SANTA TEREZA,26088,2689,137
COMPLEXO DA MARE,27079,1013,107
SAO CRISTOVAO,32737,2671,183
RIO COMPRIDO,33728,3204,216
GUARATIBA,57518,4775,1038
VIGARIO GERAL,61047,6259,545
INHAUMA,74447,6446,605
PAVUNA,76285,6494,958
CENTRO,78467,6695,515
ANCHIETA,89155,8216,1294
PENHA,94476,9939,856
VILA ISABEL,97050,8339,426
ILHA DO GOVERNADOR,97949,9959,903
RAMOS,99393,8143,747
IRAJA,106759,9884,848
TIJUCA,110726,8054,474
LAGOA,122913,6573,320
REALENGO,124594,13224,1901
COPACABANA,134798,8275,418
SANTA CRUZ,137718,11607,3755
BOTAFOGO,160294,10289,550
BANGU,190286,14887,1926
MADUREIRA,214185,20302,2154
BARRA DA TIJUCA,219362,17125,1438
MEIER,228095,19568,1457
CAMPO GRANDE,265863,22066,3500
JACAREPAGUA,328910,32951,3241
