RIO DAS FLORES,4168,881,17
QUATIS,6699,1466,19
ENG PAULO DE FRONTIN,7567,1608,37
RIO CLARO,8564,1628,29
CARMO,9668,1899,29
MENDES,10346,2454,60
SAPUCAIA,11462,2163,49
PINHEIRAL,12322,3189,55
PIRAI,13013,3183,76
PATY DO ALFERES,13949,3742,93
MIGUEL PEREIRA,17425,3722,138
PARAIBA DO SUL,21164,4937,107
VASSOURAS,21976,5047,63
PARACAMBI,23316,5440,305
JAPERI,29761,6601,701
SEROPEDICA,33292,7622,254
TRES RIOS,41137,10087,250
VALENCA,43790,9245,190
BARRA DO PIRAI,54271,13281,156
QUEIMADOS,60134,14132,1705
ITAGUAI,61836,13729,543
MESQUITA,82213,19903,1499
NILOPOLIS,82257,18048,1791
BARRA MANSA,96114,21422,824
VOLTA REDONDA,143357,30063,538
BELFORD ROXO,189228,39488,3245
SAO JOAO DE MERITI,212305,48960,3804
DUQUE DE CAXIAS,237916,49399,3275
NOVA IGUACU,367906,82432,8863
RIO DE JANEIRO,3363655,514210,30951
AP - 1,189640,29080,1171
AP - 4,554193,86626,4741
AP - 2,629051,61344,2196
AP - 5,775979,152266,12120
AP - 3,1183926,216250,10527
